# Simulation 1 (Up to date)					
# 2083 data points written for 6 variables.					
# Simulation warnings:					
#   Body calculations may not be entirely accurate at supersonic speeds.					
#   Recovery device deployment at high speed (58.1 m/s).					
#					
# Time (s)	Altitude (m)	Vertical velocity (m/s)	Lateral distance (m)	Lateral direction (°)	Lateral velocity (m/s)
# Event LAUNCH occurred at t=0 seconds					
# Event IGNITION occurred at t=0 seconds					
0	0	0	0	0	0
0.01	0	0	0	0	0
0.02	0	0	0	0	0
0.03	0	0	0	0	0
0.04	0	0	0	0	0
0.05	0	0	0	0	0
0.06	0	0	0	0	0
0.07	0	0	0	0	0
0.08	0	0	0	0	0
0.09	0	0	0	0	0
0.1	0	0	0	0	0
0.11	0	0	0	0	0
0.12	0	0	0	0	0
0.13	0	0	0	0	0
0.14	1.94E-04	0.038891	0	0	0
0.15	9.74E-04	0.11693	0	0	0
0.16	0.0027287	0.23412	0	0	0
0.17	0.0058516	0.39047	0	0	0
0.18	0.010734	0.58598	0	0	0
0.19	0.017767	0.82068	0	0	0
# Event LIFTOFF occurred at t=0.2 seconds					
0.2	0.027343	1.0945	0	0	0
0.21	0.039846	1.4061	0	0	0
0.22	0.055645	1.7537	0	0	0
0.23	0.075102	2.1376	0	0	0
0.24	0.098577	2.5576	0	0	0
0.25	0.12643	3.0138	0	0	0
0.26	0.15903	3.5062	0	0	0
0.27	0.19674	4.0349	0	0	0
0.28	0.23991	4.5998	0	0	0
0.29	0.28892	5.201	0	0	0
0.3	0.34411	5.8385	0	0	0
0.31	0.40578	6.4958	0	0	0
0.32	0.47405	7.1566	0	0	0
0.33	0.54893	7.8207	0	0	0
0.34	0.63048	8.4883	0	0	0
0.35	0.71871	9.1593	0	0	0
0.36	0.81368	9.8337	0	0	0
0.37	0.9154	10.511	0	0	0
# Event LAUNCHROD occurred at t=0.37951 seconds					
0.37951	1.0185	11.16	0	0	0
0.39378	1.1847	12.137	6.92E-06	-180	9.81E-04
0.41519	1.4603	13.614	4.45E-05	-180	0.0025368
0.4473	1.9331	15.836	1.64E-04	-180	0.0048734
0.49546	2.7764	19.185	4.84E-04	-180	0.0084707
0.54546	3.8231	22.682	0.0010039	-180	0.012304
0.59546	5.045	26.199	0.0017056	-180	0.015604
0.64546	6.4434	29.736	0.0025395	-180	0.017414
0.69546	8.0191	33.294	0.0034013	-180	0.016484
0.74546	9.7733	36.872	0.0041274	-180	0.011962
0.79546	11.707	40.47	0.0045233	-180	0.0029707
0.84546	13.821	44.088	0.0043275	-180	0.011777
0.89546	16.116	47.727	0.0032368	-180	0.033033
0.94546	18.594	51.386	8.93E-04	-179.99	0.062081
0.99546	21.255	55.064	0.0031343	-0.0021966	0.10086
1.0455	24.101	58.758	0.0093804	-1.71E-04	0.15079
1.0955	27.131	62.458	0.018395	3.64E-04	0.21165
1.1455	30.347	66.164	0.030742	5.76E-04	0.28433
1.1955	33.748	69.877	0.04705	6.67E-04	0.37027
1.2455	37.334	73.596	0.068017	7.09E-04	0.47108
1.2955	41.107	77.321	0.094419	7.48E-04	0.58746
1.3455	45.066	81.052	0.12702	8.04E-04	0.71932
1.3955	49.212	84.789	0.16661	8.75E-04	0.86677
1.4455	53.545	88.531	0.21394	9.56E-04	1.0287
1.4955	58.066	92.279	0.2697	0.0010461	1.2039
1.5455	62.773	96.032	0.33454	0.0011393	1.392
